Embedding Variant,n_days,year,best_alpha,MSE_testset
MAEC_Roberta,3,_2015,0.1,0.718
MAEC_Roberta,3,_2016,0.7,0.686
MAEC_Roberta,3,_2017,0.5,0.868
MAEC_Roberta,7,_2015,0.3,0.377
MAEC_Roberta,7,_2016,0.9,0.338
MAEC_Roberta,7,_2017,0.9,0.399
MAEC_Roberta,15,_2015,0.3,0.252
MAEC_Roberta,15,_2016,0.7,0.185
MAEC_Roberta,15,_2017,0.1,0.326
MAEC_Roberta,30,_2015,0.3,0.189
MAEC_Roberta,30,_2016,0.9,0.131
MAEC_Roberta,30,_2017,0.5,0.267
MAEC_Roberta2,3,_2015,0.3,0.675
MAEC_Roberta2,3,_2016,0.9,0.678
MAEC_Roberta2,3,_2017,0.9,0.829
MAEC_Roberta2,7,_2015,0.3,0.359
MAEC_Roberta2,7,_2016,0.5,0.318
MAEC_Roberta2,7,_2017,0.5,0.399
MAEC_Roberta2,15,_2015,0.1,0.234
MAEC_Roberta2,15,_2016,0.9,0.197
MAEC_Roberta2,15,_2017,0.3,0.263
MAEC_Roberta2,30,_2015,0.9,0.179
MAEC_Roberta2,30,_2016,0.5,0.131
MAEC_Roberta2,30,_2017,0.5,0.207
MAEC_investopedia,3,_2015,0.5,0.672
MAEC_investopedia,3,_2016,0.7,0.69
MAEC_investopedia,3,_2017,0.7,0.738
MAEC_investopedia,7,_2015,0.9,0.356
MAEC_investopedia,7,_2016,0.7,0.312
MAEC_investopedia,7,_2017,0.5,0.4
MAEC_investopedia,15,_2015,0.5,0.237
MAEC_investopedia,15,_2016,0.5,0.185
MAEC_investopedia,15,_2017,0.3,0.29
MAEC_investopedia,30,_2015,0.5,0.189
MAEC_investopedia,30,_2016,0.7,0.13
MAEC_investopedia,30,_2017,0.9,0.233
MAEC_bge,3,_2015,0.7,0.67
MAEC_bge,3,_2016,0.5,0.671
MAEC_bge,3,_2017,0.5,0.739
MAEC_bge,7,_2015,0.9,0.364
MAEC_bge,7,_2016,0.7,0.32
MAEC_bge,7,_2017,0.3,0.413
MAEC_bge,15,_2015,0.5,0.24
MAEC_bge,15,_2016,0.5,0.188
MAEC_bge,15,_2017,0.7,0.307
MAEC_bge,30,_2015,0.5,0.178
MAEC_bge,30,_2016,0.7,0.129
MAEC_bge,30,_2017,0.9,0.231
MAEC_bge_base,3,_2015,0.7,0.697
MAEC_bge_base,3,_2016,0.9,0.677
MAEC_bge_base,3,_2017,0.3,0.737
MAEC_bge_base,7,_2015,0.3,0.364
MAEC_bge_base,7,_2016,0.5,0.305
MAEC_bge_base,7,_2017,0.5,0.382
MAEC_bge_base,15,_2015,0.3,0.235
MAEC_bge_base,15,_2016,0.5,0.193
MAEC_bge_base,15,_2017,0.7,0.295
MAEC_bge_base,30,_2015,0.3,0.186
MAEC_bge_base,30,_2016,0.5,0.13
MAEC_bge_base,30,_2017,0.3,0.217
MAEC_glove,3,_2015,0.7,0.721
MAEC_glove,3,_2016,0.1,0.7
MAEC_glove,3,_2017,0.7,0.781
MAEC_glove,7,_2015,0.5,0.398
MAEC_glove,7,_2016,0.3,0.345
MAEC_glove,7,_2017,0.5,0.428
MAEC_glove,15,_2015,0.9,0.263
MAEC_glove,15,_2016,0.1,0.193
MAEC_glove,15,_2017,0.7,0.333
MAEC_glove,30,_2015,0.5,0.204
MAEC_glove,30,_2016,0.9,0.128
MAEC_glove,30,_2017,0.7,0.276
