,DISCA_Open,DISCA_High,DISCA_Low,DISCA_Close,DISCA_Adj Close,DISCA_Volume,DISCA_Dividend Amount,DISCA_Split Coefficient
2022-09-16,24.43,24.43,24.43,24.43,24.43,1,0.0,1.0
2022-09-15,24.43,24.43,24.43,24.43,24.43,1726,0.0,1.0
2022-09-13,24.43,24.43,24.43,24.43,24.43,2100,0.0,1.0
2022-09-12,24.43,24.43,24.43,24.43,24.43,48744,0.0,1.0
2022-09-09,24.43,24.43,24.43,24.43,24.43,14128,0.0,1.0
2022-09-08,24.43,24.43,24.43,24.43,24.43,2726,0.0,1.0
2022-09-07,24.43,24.43,24.43,24.43,24.43,1882,0.0,1.0
2022-08-25,24.43,24.43,24.43,24.43,24.43,698,0.0,1.0
2022-08-09,24.43,24.43,24.43,24.43,24.43,2006,0.0,1.0
2022-08-05,24.43,24.43,24.43,24.43,24.43,11970,0.0,1.0
2022-08-04,24.43,24.43,24.43,24.43,24.43,35304,0.0,1.0
2022-08-03,24.43,24.43,24.43,24.43,24.43,6998,0.0,1.0
2022-07-29,24.43,24.43,24.43,24.43,24.43,8524,0.0,1.0
2022-07-19,24.43,24.43,24.43,24.43,24.43,41163,0.0,1.0
2022-07-18,24.43,24.43,24.43,24.43,24.43,15006,0.0,1.0
2022-07-15,24.43,24.43,24.43,24.43,24.43,16740,0.0,1.0
2022-07-11,24.43,24.43,24.43,24.43,24.43,1850,0.0,1.0
2022-07-07,24.43,24.43,24.43,24.43,24.43,6300,0.0,1.0
2022-07-06,24.43,24.43,24.43,24.43,24.43,1,0.0,1.0
2022-07-01,24.43,24.43,24.43,24.43,24.43,3573,0.0,1.0
2022-06-29,24.43,24.43,24.43,24.43,24.43,487,0.0,1.0
2022-06-10,24.43,24.43,24.43,24.43,24.43,475,0.0,1.0
2022-06-09,24.43,24.43,24.43,24.43,24.43,475,0.0,1.0
2022-06-07,24.43,24.43,24.43,24.43,24.43,100,0.0,1.0
2022-06-06,24.43,24.43,24.43,24.43,24.43,24,0.0,1.0
2022-05-25,24.43,24.43,24.43,24.43,24.43,763,0.0,1.0
2022-04-08,23.07,24.515,22.78,24.43,24.43,22358922,0.0,1.0
2022-04-07,23.97,24.04,22.5,23.07,23.07,16798759,0.0,1.0
2022-04-06,24.39,24.39,23.335,23.92,23.92,10972064,0.0,1.0
