,LB_Open,LB_High,LB_Low,LB_Close,LB_Adj Close,LB_Volume,LB_Dividend Amount,LB_Split Coefficient
2024-10-04,43.99,46.62,43.99,45.65,45.65,489587,0.0,1.0
2024-10-03,43.54,44.56,42.81,43.74,43.74,246735,0.0,1.0
2024-10-02,44.15,44.15,42.5,43.58,43.58,353346,0.0,1.0
2024-10-01,38.71,44.21,38.71,44.13,44.13,808178,0.0,1.0
2024-09-30,39.55,39.84,37.81,39.12,39.12,289979,0.0,1.0
2024-09-27,39.84,40.5213,39.58,39.8,39.8,427082,0.0,1.0
2024-09-26,41.31,42.2179,39.32,39.86,39.86,366679,0.0,1.0
2024-09-25,42.38,43.17,39.78,41.22,41.22,423750,0.0,1.0
2024-09-24,41.74,45.9649,41.46,42.52,42.52,616817,0.0,1.0
2024-09-23,39.0,41.74,38.472,41.12,41.12,364289,0.0,1.0
2024-09-20,39.18,39.7999,37.91,38.67,38.67,142704,0.0,1.0
2024-09-19,38.11,41.475,38.0,38.91,38.91,398044,0.0,1.0
2024-09-18,38.1,38.7939,37.68,37.84,37.84,156601,0.0,1.0
2024-09-17,37.49,39.03,36.8,38.3,38.3,239685,0.0,1.0
2024-09-16,38.0,38.5511,37.34,37.48,37.48,212801,0.0,1.0
2024-09-13,36.66,38.6099,36.66,37.99,37.99,275634,0.0,1.0
2024-09-12,34.83,36.61,34.0,36.56,36.56,258402,0.0,1.0
2024-09-11,32.65,34.68,32.28,34.57,34.57,273023,0.0,1.0
2024-09-10,35.6,36.09,33.01,33.08,33.08,335141,0.0,1.0
2024-09-09,35.1,36.28,34.73,35.26,35.26,191651,0.0,1.0
2024-09-06,35.33,36.3,34.0,34.74,34.74,247982,0.0,1.0
2024-09-05,35.52,35.55,34.39,35.03,35.03,236486,0.0,1.0
2024-09-04,34.1,35.43,33.08,34.66,34.66,203753,0.0,1.0
2024-09-03,36.66,38.21,34.29,34.29,34.29,315745,0.0,1.0
2024-08-30,36.75,37.71,36.1701,37.04,37.04,188849,0.0,1.0
2024-08-29,36.9,38.6796,36.425,36.79,36.79,263704,0.0,1.0
2024-08-28,36.42,38.3099,36.2001,37.41,37.41,294848,0.0,1.0
2024-08-27,39.8,39.9699,35.8187,36.82,36.82,393309,0.0,1.0
2024-08-26,42.2,43.08,38.47,38.52,38.52,393611,0.0,1.0
2024-08-23,40.37,42.3048,40.25,42.04,42.04,679108,0.0,1.0
2024-08-22,38.01,40.54,38.01,40.04,40.04,387977,0.0,1.0
2024-08-21,37.52,38.171,36.86,37.63,37.63,210520,0.0,1.0
2024-08-20,36.1,38.1613,36.1,37.14,37.14,461335,0.0,1.0
2024-08-19,36.17,36.615,35.39,36.06,36.06,277707,0.0,1.0
2024-08-16,33.85,36.37,33.6,35.83,35.83,300870,0.0,1.0
2024-08-15,33.86,34.49,33.5,33.85,33.85,219988,0.0,1.0
2024-08-14,33.4,34.37,32.5,33.72,33.72,222416,0.0,1.0
2024-08-13,34.0,34.4,33.1501,33.31,33.31,224785,0.0,1.0
2024-08-12,33.0,34.91,32.6,33.8,33.8,308085,0.0,1.0
2024-08-09,32.44,32.77,30.85,32.6,32.6,237912,0.0,1.0
2024-08-08,32.8,33.3,31.6205,32.11,32.11,210383,0.0,1.0
2024-08-07,31.99,33.3146,31.48,32.27,32.27,248734,0.0,1.0
2024-08-06,30.06,31.82,30.06,31.59,31.59,208083,0.0,1.0
2024-08-05,30.0,31.19,28.0142,30.01,30.01,220527,0.0,1.0
2024-08-02,31.0,32.47,30.03,31.86,31.86,207347,0.0,1.0
2024-08-01,33.55,34.1299,31.26,32.09,32.09,391792,0.0,1.0
2024-07-31,31.38,33.38,31.38,32.97,32.97,374302,0.0,1.0
2024-07-30,32.24,32.88,31.0,31.18,31.18,270803,0.0,1.0
2024-07-29,30.78,32.96,29.462,32.0,32.0,381062,0.0,1.0
2024-07-26,29.67,30.54,29.46,30.13,30.13,225472,0.0,1.0
2024-07-25,29.84,30.63,29.0,29.55,29.55,283150,0.0,1.0
2024-07-24,28.22,29.9499,28.1,29.49,29.49,235190,0.0,1.0
2024-07-23,28.26,29.57,28.1,28.22,28.22,307125,0.0,1.0
2024-07-22,29.59,31.0,28.6501,29.55,29.55,374049,0.0,1.0
2024-07-19,28.22,29.78,28.22,28.85,28.85,207490,0.0,1.0
2024-07-18,27.21,30.01,26.975,28.45,28.45,495130,0.0,1.0
2024-07-17,29.01,29.01,26.51,27.15,27.15,735512,0.0,1.0
2024-07-16,31.16,32.09,28.019,29.01,29.01,589818,0.0,1.0
2024-07-15,32.11,32.11,28.94,31.16,31.16,722604,0.0,1.0
2024-07-12,30.3,32.91,29.91,30.78,30.78,627558,0.0,1.0
2024-07-11,28.35,30.08,27.83,29.9,29.9,287995,0.0,1.0
2024-07-10,27.5,28.5,26.8,27.95,27.95,272987,0.0,1.0
2024-07-09,26.77,27.62,26.035,27.32,27.32,305856,0.0,1.0
2024-07-08,29.48,29.48,26.03,26.77,26.77,706400,0.0,1.0
2024-07-05,24.67,31.345,24.22,28.5,28.5,775131,0.0,1.0
2024-07-03,24.41,25.33,24.0,24.0,24.0,313462,0.0,1.0
2024-07-02,22.95,25.9768,22.51,24.41,24.41,589135,0.0,1.0
2024-07-01,21.96,23.74,21.0001,22.96,22.96,865843,0.0,1.0
2024-06-28,19.0,23.51,18.75,23.15,23.15,3203390,0.0,1.0
